🌙測試,#genre#
HBO強檔,http://50.7.220.74:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
美亞電影 HD,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
美亞電影 HD,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亞電影 HD,http://pull-l3-cny.douyincdn.com/live/b16e0049bdda5f54e62d3c9b694d81ff.m3u8
影迷紀實台,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/playlist.m3u8
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/playlist.m3u8
影迷數位電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/.m3u8
CATCHPLAY電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
CATCHPLAY電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/.m3u8
靖天電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv061.stream/playlist.m3u8
HBO,http://line.premiumpowers.net:80/Manuel/1234567/941648
HBO家庭,http://line.premiumpowers.net:80/Manuel/1234567/941646
HBO原創,http://line.premiumpowers.net:80/Manuel/1234567/941645
HBO強檔,http://line.premiumpowers.net:80/Manuel/1234567/941647
AXN,http://line.premiumpowers.net:80/Manuel/1234567/941660
CINEMAX,http://line.premiumpowers.net:80/Manuel/1234567/941659
HITS MOVIES,http://line.premiumpowers.net:80/Manuel/1234567/941606
ANIMAX,http://line.premiumpowers.net:80/Manuel/1234567/941676
衛視電影台,http://line.premiumpowers.net:80/Manuel/1234567/941625
東森電影,http://120.84.96.122:808/hls/32/index.m3u8
東森電影,http://120.84.96.72:808/hls/32/index.m3u8
東森電影,http://120.84.96.73:808/hls/32/index.m3u8
東森電影,http://120.84.96.78:808/hls/32/index.m3u8
東森電影,http://120.84.96.89:808/hls/32/index.m3u8
東森電影,http://120.84.96.96:808/hls/32/index.m3u8
東森電影,http://120.84.96.120:808/hls/32/index.m3u8
東森電影,http://120.84.96.126:808/hls/32/index.m3u8
東森電影,http://120.84.96.125:808/hls/32/index.m3u8
東森電影,http://120.84.96.196:808/hls/32/index.m3u8
東森電影,http://120.84.96.233:808/hls/32/index.m3u8
東森洋片,http://120.84.96.122:808/hls/33/index.m3u8
東森洋片,http://120.84.96.71:808/hls/33/index.m3u8
東森洋片,http://120.84.96.73:808/hls/33/index.m3u8
東森洋片,http://120.84.96.72:808/hls/33/index.m3u8
東森洋片,http://120.84.96.78:808/hls/33/index.m3u8
東森洋片,http://120.84.96.85:808/hls/33/index.m3u8
東森洋片,http://120.84.96.89:808/hls/33/index.m3u8
東森洋片,http://120.84.96.96:808/hls/33/index.m3u8
東森洋片,http://120.84.96.120:808/hls/33/index.m3u8
東森洋片,http://120.84.96.125:808/hls/33/index.m3u8
東森洋片,http://120.84.96.126:808/hls/33/index.m3u8
東森洋片,http://120.84.96.196:808/hls/33/index.m3u8
東森洋片,http://120.84.96.233:808/hls/33/index.m3u8
龍祥時代,http://120.84.96.122:808/hls/35/index.m3u8
龍祥時代,http://120.84.96.71:808/hls/35/index.m3u8
